"IL","ToplamSandik","ToplamSecmen","KullanilanOy","GecerliOy","Turnout","GecerliOy.Orani","Oy.SP","Parti.Oran.SP","Oy.BTP","Parti.Oran.BTP","Oy.TKP","Parti.Oran.TKP","Oy.VP","Parti.Oran.VP","Oy.CHP","Parti.Oran.CHP","Oy.MHP","Parti.Oran.MHP","Oy.DSP","Parti.Oran.DSP","Oy.Bagimsiz","Parti.Oran.Bagimsiz","Oy.AKP","Parti.Oran.AKP","Oy.IYI","Parti.Oran.IYI","Oy.HDP","Parti.Oran.HDP","Oy.DP","Parti.Oran.DP","Oy.BBP","Parti.Oran.BBP"
"Elazig",739,241886,189095,180563,0.781752561123835,0.954879822311537,8630,0.047794952454268,207,0.00114641427091929,206,0.00114087603772644,326,0.00180546402086806,0,0,62216,0.344566716326158,167,0.000924884943205419,0,0,72908,0.403781505624076,30880,0.17102064099511,5023,0.0278185453276696,0,0,0,0
"Erzincan",295,90566,77843,75626,0.85951681646534,0.971519597137829,739,0.00977177161293735,38,0.00050247269457594,52,0.000687594213630233,27,0.000357020072461852,17457,0.230833311295057,32036,0.42361092745881,42,0.000555364557162881,0,0,24959,0.330031999576865,0,0,0,0,0,0,276,0.00364953851849893
"Erzurum",2284,498556,405591,384917,0.813531478911095,0.949027468558227,8668,0.0225191404900277,1902,0.00494132501292486,629,0.00163411852425328,620,0.00161073686015427,9378,0.0243636939911721,0,0,866,0.00224983567886064,0,0,241742,0.628036693624859,97945,0.254457454464209,23167,0.0601870013535386,0,0,0,0
"Eskisehir",2227,651738,560763,546265,0.860411699179732,0.974145940441862,6579,0.0120436052099256,872,0.00159629483858567,602,0.00110202923489515,1162,0.00212717270921622,285687,0.522982435264935,0,0,4296,0.00786431493872022,488,0.000893339313336933,246579,0.451390808490385,0,0,0,0,0,0,0,0
"Gaziantep",3981,1228873,966659,916947,0.786622376763099,0.948573385237193,17351,0.018922576768341,4128,0.00450189596563378,2347,0.00255958086999576,3177,0.00346475859564402,0,0,0,0,240274,0.262036955243869,4018,0.00438193265259606,494905,0.539731303990307,150747,0.164400995913613,0,0,0,0,0,0
"Giresun",236,77173,64001,62052,0.82931854405038,0.969547350822643,1232,0.0198543157351898,147,0.00236898085476697,221,0.00356152904015987,0,0,30026,0.483884483981177,0,0,120,0.00193386192225875,0,0,30306,0.488396828466447,0,0,0,0,0,0,0,0
"Gümüshane",85,23948,19385,18677,0.809462168030733,0.963476915140573,250,0.0133854473416502,29,0.00155271189163142,25,0.00133854473416502,0,0,1410,0.0754939230069069,5606,0.300155271189163,33,0.00176687904909782,0,0,9182,0.491620709964127,2142,0.114686512823259,0,0,0,0,0,0
"Hakkari",122,40237,33232,32015,0.825906503964013,0.963378671160327,143,0.00446665625488052,66,0.0020615336560987,36,0.00112447290332657,0,0,818,0.0255505231922536,0,0,119,0.00371700765266281,504,0.0157426206465719,10644,0.332469155083555,486,0.0151803841949086,19199,0.599687646415743,0,0,0,0
"Hatay",3421,1068544,913730,888852,0.855116869310014,0.97277313867335,7547,0.00849072736518566,1140,0.00128255322595888,818,0.000920288191959966,1828,0.00205658534829195,490269,0.551575515383888,0,0,6331,0.00712267059082952,424,0.000477019796321547,380495,0.428074640097564,0,0,0,0,0,0,0,0
"Isparta",498,164209,136173,132489,0.82926636177067,0.972946178757904,1177,0.00888375638732272,200,0.00150955928416699,181,0.00136615115217112,97,0.000732136252820989,0,0,40801,0.307957641766486,177,0.00133595996648778,630,0.00475511174512601,50394,0.380363652831556,38003,0.28683890738099,0,0,473,0.00357010770705493,356,0.00268701552581724
"Mersin",4155,1282874,1094234,1057893,0.852955161613689,0.966788639358675,7202,0.00680787187362049,1939,0.00183288858135936,2187,0.00206731682693807,3998,0.00377921018477294,477015,0.450910441793263,433666,0.409933707851361,4719,0.00446075359228202,0,0,0,0,0,0,0,0,127167,0.120207809296403,0,0
"Istanbul",31186,10570939,8866614,8547074,0.838772600995995,0.963961440071712,103300,0.012086007445355,27238,0.00318682159532022,10492,0.00122755459938688,17377,0.00203309343057051,4171118,0.488017068765287,0,0,30817,0.00360556138861089,14532,0.00170023097963116,4149656,0.485506033994792,0,0,0,0,22544,0.0026376278010463,0,0
"Izmir",10161,3253745,2740742,2667214,0.842334602127702,0.97317222854249,30179,0.0113148026367588,3958,0.0014839454202025,8061,0.00302225468222647,8535,0.00319996820652561,1549693,0.581015621543678,0,0,20528,0.00769642030973143,2871,0.00107640406806503,1032020,0.386928083010962,0,0,0,0,11369,0.00426250012184999,0,0
"Kars",167,52856,42796,41224,0.809671560466172,0.963267595102346,221,0.00536095478362119,37,0.000897535416262371,38,0.000921793130215409,121,0.00293518338831749,9128,0.221424412963322,10954,0.265718998641568,7613,0.184673976324471,0,0,0,0,920,0.0223170968367941,12192,0.295750048515428,0,0,0,0
"Kastamonu",240,77518,64279,61802,0.829213860006708,0.961464864108029,411,0.0066502702177923,87,0.00140772143296333,74,0.00119737225332514,0,0,11226,0.181644606970648,30621,0.495469402284716,112,0.00181223908611372,0,0,19091,0.308905860651759,0,0,0,0,180,0.00291252710268276,0,0
"Kayseri",3191,957078,820938,789750,0.857754540382289,0.962009311300001,21688,0.0274618550174106,4031,0.00510414688192466,1361,0.00172333016777461,2380,0.00301361190250079,0,0,0,0,3218,0.0040747071858183,2962,0.00375055397277619,500621,0.63389806900918,248947,0.315222538778094,4542,0.00575118708452042,0,0,0,0
"Kirklareli",170,55870,47582,45825,0.851655629139073,0.963074271783448,403,0.00879432624113475,1243,0.0271249318057829,83,0.00181123840698309,138,0.00301145662847791,9674,0.211107474086197,16928,0.369405346426623,180,0.00392798690671031,17176,0.374817239498091,0,0,0,0,0,0,0,0,0,0
"Kirsehir",269,88025,73565,71513,0.835728486225504,0.972106300550533,484,0.00676800022373554,30,0.000419504146099311,57,0.00079705787758869,80,0.0011186777229315,32028,0.447862626375624,11137,0.155733922503601,45,0.000629256219148966,0,0,27652,0.386670954931271,0,0,0,0,0,0,0,0
"Kocaeli",4196,1350376,1151218,1098317,0.852516632404604,0.954047799808551,54640,0.0497488430025211,4692,0.0042719906912121,3470,0.00315937930488192,2983,0.00271597362145901,0,0,0,0,10875,0.00990151295117894,4234,0.00385498904232567,610350,0.555713878597891,359010,0.326872842722092,41851,0.0381046637719347,6212,0.00565592629450332,0,0
"Konya",5044,1522655,1285194,1218037,0.844048060788557,0.947745632176932,50099,0.0411309344461621,8623,0.0070794236956677,3690,0.00302946462217486,3423,0.00281025945845652,0,0,0,0,6486,0.00532496139279841,8368,0.00687007044941984,859115,0.705327506471478,245997,0.201961845165623,26589,0.0218293861352323,5647,0.00463614816298684,0,0
"Kütahya",509,164087,142109,138025,0.86605885901991,0.971261496456945,1874,0.0135772504980982,110,0.000796957072994023,92,0.000666545915595001,0,0,35357,0.256163738453179,53393,0.386835718166999,136,0.00098532874479261,0,0,44513,0.322499547183481,2009,0.0145553341785908,0,0,541,0.0039195797862706,0,0
"Malatya",2089,562216,464819,446292,0.826762311993967,0.960141474423378,23682,0.0530639133123605,1508,0.0033789536895127,626,0.00140266910453246,618,0.00138474362076847,103690,0.232336676436055,0,0,1345,0.00301372195782134,1029,0.00230566534914361,305588,0.68472659155889,0,0,6555,0.0146876932591218,1651,0.00369937171179407,0,0
"Manisa",3674,1054034,933160,873021,0.88532248485343,0.935553388486433,10098,0.0115667320717371,4290,0.00491397114158766,2890,0.003310344195615,3858,0.00441913768397324,0,0,460692,0.527698646424313,6625,0.00758859179790635,2324,0.00266202073031462,0,0,332210,0.380529219801127,37915,0.0434296540403954,12119,0.0138816821130305,0,0
