"Il","Ilce","ToplamSandik","ToplamSecmen","KullanilanOy","GecerliOy","Turnout","GecerliOy.Orani","Oy.SP","Parti.Oran.SP","Oy.BTP","Parti.Oran.BTP","Oy.TKP","Parti.Oran.TKP","Oy.VP","Parti.Oran.VP","Oy.BBP","Parti.Oran.BBP","Oy.CHP","Parti.Oran.CHP","Oy.AKP","Parti.Oran.AKP","Oy.DP","Parti.Oran.DP","Oy.DSP","Parti.Oran.DSP","Oy.Bagimsiz","Parti.Oran.Bagimsiz","Oy.MHP","Parti.Oran.MHP","Oy.IYI","Parti.Oran.IYI","Oy.HDP","Parti.Oran.HDP"
"AFYONKARAHISAR","Emirdag",47,13781,11307,10861,0.820477468979029,0.960555408154241,51,0.00469570021176687,22,0.00202559616978179,0,0,0,0,0,0,2826,0.260197035263788,4391,0.404290580977811,0,0,0,0,0,0,3571,0.328791087376853,0,0,0,0
"AFYONKARAHISAR","Ihsaniye",11,3006,2743,2635,0.912508316699933,0.960627050674444,12,0.00455407969639469,3,0.00113851992409867,0,0,0,0,0,0,1077,0.408728652751423,885,0.335863377609108,0,0,0,0,0,0,658,0.249715370018975,0,0,0,0
"AFYONKARAHISAR","Sandikli",75,23341,19690,18950,0.843579966582409,0.962417470797359,201,0.0106068601583113,35,0.00184696569920844,17,0.000897097625329815,0,0,36,0.00189973614775726,0,0,10597,0.559208443271768,0,0,0,0,54,0.00284960422163588,4042,0.213298153034301,3968,0.209393139841689,0,0
"AFYONKARAHISAR","Sinanpasa",12,2986,2818,2693,0.943737441393168,0.955642299503194,6,0.00222799851466766,5,0.00185666542888971,0,0,0,0,0,0,1242,0.461195692536205,1340,0.497586334942443,100,0.0371333085777943,0,0,0,0,0,0,0,0,0,0
"AFYONKARAHISAR","Sultandagi",15,4341,3875,3687,0.892651462796591,0.951483870967742,7,0.00189856251695145,8,0.0021697857336588,0,0,0,0,0,0,1029,0.279088689991863,1664,0.451315432601031,0,0,0,0,0,0,325,0.0881475454298888,654,0.177379983726607,0,0
"AFYONKARAHISAR","Suhut",35,9948,8730,8368,0.877563329312425,0.958533791523482,48,0.00573613766730402,12,0.001434034416826,0,0,0,0,0,0,1827,0.218331739961759,3785,0.452318355640535,0,0,0,0,0,0,2696,0.322179732313576,0,0,0,0
"AFYONKARAHISAR","Basmakçi",15,4163,3852,3616,0.925294258947874,0.938733125649013,17,0.00470132743362832,6,0.00165929203539823,0,0,0,0,0,0,1169,0.323285398230089,980,0.271017699115044,0,0,0,0,0,0,1444,0.399336283185841,0,0,0,0
"AFYONKARAHISAR","Bayat",12,3136,2771,2621,0.883609693877551,0.945867917719235,8,0.00305227012590614,9,0.00343380389164441,0,0,0,0,0,0,1116,0.425791682563907,1327,0.506295307134681,70,0.0267073636016787,0,0,0,0,91,0.0347195726821824,0,0,0,0
"AFYONKARAHISAR","Iscehisar",31,8728,8017,7823,0.918538038496792,0.975801421978296,81,0.0103540841109549,14,0.00178959478460948,0,0,0,0,554,0.0708168221909753,0,0,2615,0.334270740125272,2707,0.346030934424134,0,0,0,0,1852,0.236737824364055,0,0,0,0
"AFYONKARAHISAR","Çobanlar",22,6071,5774,5593,0.951078899687037,0.968652580533426,5,0.000893974611121044,2,0.000357589844448418,0,0,0,0,0,0,681,0.121759342034686,2118,0.378687645270874,0,0,0,0,0,0,1253,0.224030037546934,1534,0.274271410691936,0,0
"AFYONKARAHISAR","Evciler",11,2777,2478,2402,0.89232985235866,0.969330104923325,15,0.00624479600333056,4,0.00166527893422148,0,0,0,0,0,0,978,0.407160699417152,1389,0.57826810990841,0,0,0,0,16,0.00666111573688593,0,0,0,0,0,0
"AFYONKARAHISAR","Hocalar",7,1863,1674,1589,0.898550724637681,0.949223416965352,14,0.00881057268722467,2,0.0012586532410321,0,0,0,0,0,0,39,0.0245437382001259,851,0.535556954059157,0,0,0,0,0,0,683,0.429830081812461,0,0,0,0
"AFYONKARAHISAR","Kizilören",5,1304,1110,1016,0.851226993865031,0.915315315315315,8,0.0078740157480315,1,0.000984251968503937,0,0,0,0,0,0,0,0,317,0.312007874015748,0,0,0,0,0,0,558,0.549212598425197,132,0.12992125984252,0,0
"AGRI","Merkez",194,64435,48815,46427,0.757585163342904,0.951080610468094,949,0.0204406918388007,57,0.00122773386176148,64,0.00137850819566201,0,0,0,0,892,0.0192129579770392,25799,0.555689577185689,0,0,67,0.00144312576733366,132,0.00284317315355289,0,0,1227,0.0264285868137075,17240,0.371335645206453
"AGRI","Diyadin",38,11379,8348,7718,0.733632129361104,0.92453282223287,52,0.00673749676081887,14,0.00181394143560508,0,0,0,0,0,0,486,0.0629696812645763,2650,0.343353200310961,0,0,0,0,0,0,72,0.00932884166882612,59,0.0076444674786214,4385,0.568152371080591
"AGRI","Dogubayazit",138,45035,31971,30141,0.709914510935939,0.942760626818054,255,0.00846023688663283,69,0.00228924056932418,0,0,0,0,0,0,516,0.0171195381705982,8398,0.278623801466441,0,0,0,0,0,0,291,0.00965462327062805,0,0,20612,0.683852559636376
"AGRI","Eleskirt",23,6565,4989,4710,0.75993907083016,0.944076969332532,1690,0.358811040339703,18,0.00382165605095541,0,0,0,0,0,0,20,0.00424628450106157,1351,0.286836518046709,1026,0.217834394904459,0,0,193,0.0409766454352442,26,0.00552016985138004,0,0,386,0.0819532908704883
"AGRI","Hamur",7,1922,1822,1761,0.947970863683663,0.966520307354555,803,0.455990914253265,3,0.00170357751277683,0,0,0,0,0,0,27,0.0153321976149915,904,0.513344690516752,0,0,0,0,0,0,3,0.00170357751277683,0,0,21,0.0119250425894378
"AGRI","Patnos",108,34512,25907,24603,0.750666434863236,0.949666113405643,6318,0.256797951469333,33,0.00134129984148275,0,0,0,0,0,0,260,0.0105678169328944,6473,0.263097996179328,87,0.00353615412754542,0,0,0,0,189,0.00768199000121936,189,0.00768199000121936,11054,0.449294801446978
"AGRI","Tasliçay",14,3993,3444,3250,0.862509391435011,0.943670150987224,329,0.101230769230769,1,0.000307692307692308,0,0,0,0,0,0,240,0.0738461538461539,1243,0.382461538461538,0,0,0,0,0,0,328,0.100923076923077,0,0,1109,0.341230769230769
"AGRI","Tutak",15,4189,3360,3227,0.802100740033421,0.960416666666667,321,0.0994731949178804,16,0.00495816547877285,0,0,0,0,621,0.192438797644871,220,0.0681747753331267,590,0.182832352029749,554,0.17167647970251,0,0,0,0,261,0.0808800743724822,89,0.027579795475674,555,0.171986365044933
"AMASYA","Merkez",231,74272,64868,63123,0.873384317104696,0.973099216871185,546,0.0086497790028991,46,0.000728735959951206,53,0.000839630562552477,42,0.000665367615607623,0,0,10887,0.172472791217147,21597,0.342141533197091,0,0,62,0.000982209337325539,43,0.000681209701693519,29847,0.472838743405732,0,0,0,0
"AMASYA","Göynücek",7,1802,1675,1592,0.929522752497225,0.95044776119403,5,0.00314070351758794,0,0,0,0,0,0,0,0,36,0.0226130653266332,720,0.452261306532663,0,0,0,0,0,0,831,0.521984924623116,0,0,0,0
"AMASYA","Gümüshaciköy",42,11684,10426,9890,0.892331393358439,0.94859006330328,117,0.011830131445905,36,0.00364004044489383,0,0,0,0,16,0.00161779575328615,5444,0.550455005055612,3859,0.390192113245703,0,0,21,0.00212335692618807,112,0.011324570273003,285,0.0288169868554095,0,0,0,0
"AMASYA","Merzifon",137,42642,37092,36095,0.869846630083017,0.973120888601316,296,0.00820058179803297,20,0.000554093364731957,0,0,0,0,0,0,16436,0.455353927136723,14762,0.408976312508658,0,0,139,0.0038509488848871,0,0,3469,0.096107494112758,973,0.0269566421942097,0,0
"AMASYA","Suluova",88,28259,24985,23825,0.884143104851552,0.953572143285972,257,0.0107869884575026,46,0.00193074501573977,0,0,0,0,0,0,0,0,11297,0.474165792235047,0,0,0,0,0,0,9549,0.400797481636936,2676,0.112318992654774,0,0
"AMASYA","Tasova",27,7954,7072,6723,0.889112396278602,0.950650452488688,29,0.00431355049828945,13,0.00193366056819872,0,0,0,0,0,0,0,0,3490,0.519113491001041,0,0,0,0,0,0,1097,0.163171203331846,2094,0.311468094600625,0,0
"AMASYA","Hamamözü",6,1303,1192,1141,0.914811972371451,0.957214765100671,3,0.00262927256792287,1,0.000876424189307625,0,0,0,0,0,0,217,0.190184049079755,446,0.390885188431201,0,0,0,0,0,0,474,0.415425065731814,0,0,0,0
"ANKARA","Altindag",751,253248,212159,202442,0.837751926964872,0.954199444756056,5050,0.0249454164649628,480,0.00237104948577864,805,0.00397644757510793,448,0.00221297952006007,7068,0.0349137036780905,0,0,130434,0.644303059641774,643,0.00317621837365764,1643,0.00811590480236315,471,0.00232659230792029,0,0,55400,0.273658628150285,0,0
"ANKARA","Ayas",54,13756,12965,12586,0.942497819133469,0.970767450829155,117,0.00929604322262832,41,0.00325758779596377,0,0,9,0.000715080247894486,0,0,5802,0.460988399809312,6554,0.52073732718894,40,0.0031781344350866,14,0.00111234705228031,9,0.000715080247894486,0,0,0,0,0,0
"ANKARA","Bala",111,29218,25762,24807,0.881716749948662,0.962929896747147,313,0.0126174063772322,95,0.00382956423590116,0,0,52,0.00209618252912484,0,0,0,0,15125,0.609706937557947,0,0,66,0.00266053936388922,0,0,0,0,8766,0.353368000967469,390,0.0157213689684363
"ANKARA","Beypazari",161,36558,32750,31654,0.89583675255758,0.966534351145038,996,0.0314652176660138,68,0.00214822771213749,0,0,109,0.00344348265622038,0,0,0,0,15292,0.483098502558918,0,0,10,0.000315915840020219,0,0,0,0,15179,0.47952865356669,0,0
"ANKARA","Çamlidere",59,12521,11631,11153,0.928919415382158,0.958902931820136,46,0.00412445082040707,12,0.0010759436922801,0,0,23,0.00206222541020353,361,0.0323679727427598,0,0,8229,0.737828386981081,0,0,0,0,0,0,0,0,2482,0.222541020353268,0,0
"ANKARA","Çankaya",2029,680264,580514,569906,0.853365752119765,0.981726538894842,9023,0.0158324355244549,702,0.00123178208336112,0,0,1983,0.00347952118419529,5638,0.00989285952420224,418740,0.734752748698908,123222,0.216214603811857,1654,0.00290223299982804,0,0,0,0,0,0,0,0,8944,0.0156938161731935
"ANKARA","Çubuk",242,63536,56349,54050,0.886883026945354,0.959200695664519,4560,0.0843663274745606,423,0.00782608695652174,0,0,105,0.00194264569842738,1349,0.0249583718778908,0,0,35399,0.654930619796485,0,0,190,0.00351526364477336,2616,0.0483996299722479,0,0,9408,0.174061054579093,0,0
"ANKARA","Elmadag",116,32614,29819,28945,0.914300607101245,0.970689828632751,482,0.0166522715494904,57,0.00196925202971152,0,0,47,0.00162376921748143,0,0,15015,0.518742442563482,13305,0.459664881672137,0,0,39,0.00134738296769736,0,0,0,0,0,0,0,0
"ANKARA","Güdül",41,8945,8187,7809,0.915259921743991,0.953829241480396,33,0.00422589320015367,8,0.00102445895761301,0,0,44,0.00563452426687156,0,0,891,0.114099116404149,5185,0.663977461902932,0,0,11,0.00140863106671789,0,0,0,0,1637,0.209629914201562,0,0
"ANKARA","Haymana",143,32521,28964,27300,0.89062451954122,0.942549371633752,2297,0.0841391941391941,62,0.00227106227106227,0,0,40,0.00146520146520147,0,0,5966,0.218534798534799,11903,0.436007326007326,5918,0.216776556776557,0,0,134,0.00490842490842491,0,0,0,0,980,0.0358974358974359
"ANKARA","Kalecik",68,10679,9931,9486,0.929955988388426,0.95519081663478,33,0.00347881087919039,23,0.00242462576428421,0,0,15,0.00158127767235927,718,0.0756904912502635,2928,0.308665401644529,5739,0.604996837444655,0,0,27,0.00284629981024668,3,0.000316255534471853,0,0,0,0,0,0
"ANKARA","Kizilcahamam",148,27183,24806,24084,0.912555641393518,0.970894138514875,197,0.00817970436804518,40,0.0016608536787909,0,0,27,0.00112107623318386,333,0.0138266068759342,0,0,14519,0.602848364059126,0,0,40,0.0016608536787909,0,0,0,0,8928,0.370702541106129,0,0
"ANKARA","Nallihan",124,22455,20088,19162,0.894589178356713,0.953902827558742,161,0.00840204571547855,47,0.00245277110948753,0,0,91,0.00474898236092266,0,0,0,0,10276,0.536269700448805,0,0,0,0,86,0.00448804926416867,0,0,8501,0.443638451101138,0,0
"ANKARA","Polatli",302,87070,73156,69910,0.840197542207419,0.955629066652086,670,0.00958375053640395,126,0.00180231726505507,0,0,0,0,813,0.0116292375911887,26809,0.383478758403662,0,0,1075,0.015376913174081,195,0.0027893005292519,0,0,39376,0.563238449434988,0,0,846,0.0121012730653698
"ANKARA","Sereflikoçhisar",113,25516,21254,19985,0.832967549772692,0.940293591794486,265,0.013259944958719,108,0.00540405303977983,0,0,94,0.0047035276457343,0,0,0,0,11450,0.572929697272955,0,0,152,0.00760570427820866,126,0.00630472854640981,0,0,7790,0.389792344258194,0,0
"ANKARA","Yenimahalle",1416,480320,417430,408216,0.869066455696203,0.977926838032724,4422,0.010832500440943,667,0.00163393889509475,0,0,0,0,0,0,238187,0.583482764026888,164156,0.402130244772375,784,0.00192055186469908,0,0,0,0,0,0,0,0,0,0
"ANKARA","Gölbasi",286,89967,78697,75782,0.874731846121356,0.962959197936389,2037,0.0268797339737669,134,0.00176822992267293,0,0,207,0.00273151935815893,2018,0.0266290148056267,0,0,0,0,242,0.00319337045736455,463,0.00610963025520572,0,0,41055,0.541751339368188,29626,0.390937161859017,0,0
"ANKARA","Keçiören",1903,646023,542592,522213,0.839895793183834,0.962441392427459,9616,0.0184139422036602,1545,0.00295856288525946,1670,0.00319792881448758,1498,0.00286856129586969,0,0,0,0,332396,0.63651421929366,2052,0.00392943109420868,4477,0.00857313012123406,0,0,0,0,161314,0.308904604060029,7645,0.0146396202315913
"ANKARA","Mamak",1323,448084,383395,372660,0.855631979718089,0.972000156496564,5174,0.0138839693017764,863,0.00231578382439757,0,0,735,0.00197230719690871,0,0,176035,0.472374282187517,187803,0.503952664627274,785,0.00210647775452155,875,0.00234798475822466,390,0.00104653034938013,0,0,0,0,0,0
"ANKARA","Sincan",1078,357827,301278,288268,0.841965530829144,0.956817291670816,6358,0.022055864681477,711,0.00246645482675843,803,0.00278560228676093,673,0.00233463304980088,5290,0.0183509789501436,0,0,194879,0.676034107150291,1166,0.00404484715611861,2432,0.00843659372528342,635,0.00220281127284333,0,0,75321,0.261288106900523,0,0
"ANKARA","Kahramankazan",135,36841,33183,32161,0.900708449824923,0.969201096947232,173,0.00537918597058549,42,0.00130592954199185,0,0,47,0.00146139734460993,0,0,0,0,17145,0.533099095177389,89,0.00276732688660178,73,0.00226982991822394,109,0.0033891980970741,0,0,14483,0.450328037063524,0,0
"ANKARA","Akyurt",85,23891,21557,20637,0.902306307814658,0.957322447464861,167,0.00809226147211319,420,0.0203517953190871,0,0,30,0.00145369966564908,459,0.0222416048844309,0,0,11238,0.544555894752144,0,0,70,0.00339196588651451,6792,0.329117604302951,0,0,1461,0.07079517371711,0,0
"ANKARA","Etimesgut",1186,405522,344898,332548,0.850503795108527,0.964192311929904,6116,0.0183913299734174,818,0.0024597952776742,0,0,1077,0.00323863021278131,5451,0.0163916186535478,152057,0.457248276940472,0,0,0,0,1094,0.00328975065253738,1093,0.00328674356784584,164842,0.495693854721724,0,0,0,0
"ANKARA","Evren",16,3124,2755,2622,0.881882202304737,0.951724137931034,9,0.0034324942791762,4,0.0015255530129672,0,0,8,0.0030511060259344,0,0,0,0,1675,0.638825324180015,0,0,8,0.0030511060259344,0,0,0,0,918,0.350114416475973,0,0
"ANKARA","Pursaklar",290,97446,84197,81292,0.864037518215217,0.965497583049277,1307,0.0160778428381637,298,0.00366579737243517,0,0,103,0.0012670373468484,4164,0.051222752546376,0,0,58567,0.720452197018157,282,0.00346897603700241,352,0.00433006937952074,1134,0.0139497121487969,0,0,15085,0.1855656153127,0,0
"ANTALYA","Akseki",63,11243,9652,9149,0.858489726941208,0.947886448404476,161,0.0175975516449885,19,0.00207672969723467,0,0,0,0,0,0,4085,0.446496884905454,4839,0.528910263416767,32,0.00349765001639523,13,0.00142092031916056,0,0,0,0,0,0,0,0
"ANTALYA","Alanya",668,206895,172152,163291,0.832074240556804,0.948528044983503,1200,0.007348843475758,299,0.0018310868327097,0,0,504,0.00308651425981836,0,0,0,0,0,0,3126,0.0191437372543496,713,0.00436643783184621,1308,0.00801023938857622,94056,0.576002351629912,59165,0.362328603536019,2920,0.0178821857910111
"ANTALYA","Elmali",120,30327,28201,26945,0.929897451116167,0.955462572249211,188,0.0069771757283355,25,0.00092781592132121,0,0,75,0.00278344776396363,131,0.00486175542772314,0,0,12077,0.44820931527185,157,0.0058266839858972,41,0.00152161811096678,0,0,0,0,14251,0.528892187789943,0,0
"ANTALYA","Finike",126,36022,32017,30534,0.888817944589418,0.953680857044695,207,0.00677932796227157,102,0.00334053841619179,0,0,0,0,0,0,14997,0.491157398310081,0,0,244,0.00799109189755682,64,0.0020960241042772,0,0,14920,0.488635619309622,0,0,0,0
"ANTALYA","Gazipasa",137,38414,35405,33727,0.921669183110324,0.952605564185849,285,0.00845020310137279,36,0.00106739407596288,0,0,108,0.00320218222788864,0,0,18312,0.542947786639784,14736,0.436919975094138,143,0.0042399264684081,31,0.000919144898745812,76,0.00225338749369941,0,0,0,0,0,0
"ANTALYA","Gündogmus",35,6985,6485,6022,0.928418038654259,0.928604471858134,58,0.00963135171039522,14,0.00232480903354367,0,0,0,0,0,0,0,0,3616,0.600464961806709,53,0.00880106276984391,17,0.00282298239787446,0,0,0,0,2264,0.375954832281634,0,0
"ANTALYA","Kas",161,44158,40137,38051,0.908940622310793,0.948028004086005,153,0.00402091929252845,45,0.0011826233213319,0,0,105,0.00275945441644109,0,0,13313,0.349872539486479,16343,0.429502509789493,7992,0.210033901868545,100,0.00262805182518199,0,0,0,0,0,0,0,0
"ANTALYA","Korkuteli",156,43282,39578,37549,0.914421699551777,0.9487341452322,11186,0.29790407201257,94,0.00250339556313084,0,0,0,0,0,0,0,0,0,0,189,0.00503342299395457,169,0.00450078564009694,38,0.00101201097232949,13496,0.359423686383126,12377,0.329622626434792,0,0
"ANTALYA","Kumluca",165,50457,45581,44212,0.903363259805379,0.969965555823698,286,0.00646883199131458,68,0.00153804396996291,0,0,0,0,849,0.0192029313308604,22664,0.512621007871166,20204,0.45698000542839,101,0.00228444766126843,40,0.000904731747037004,0,0,0,0,0,0,0,0
"ANTALYA","Manavgat",522,161447,140351,135980,0.869331731156355,0.968856652250429,962,0.00707456978967495,260,0.00191204588910134,0,0,263,0.00193410795705251,0,0,70323,0.517156934843359,63476,0.466803941756141,427,0.00314016767171643,269,0.00197823209295485,0,0,0,0,0,0,0,0
