Il,Ilce,ToplamSandik,ToplamSecmen,KullanilanOy,GecerliOy,Parti,Oy,Turnout,GecerliOy.Orani,Parti.Oran
ADANA,Kozan,323,93515,82776,78488,DP,312,0.885162808,0.948197545,0.00397513
ADANA,Kozan,323,93515,82776,78488,MHP,31385,0.885162808,0.948197545,0.399870044
ADANA,Kozan,323,93515,82776,78488,IYI,18090,0.885162808,0.948197545,0.230481093
ADANA,Kozan,323,93515,82776,78488,HDP,210,0.885162808,0.948197545,0.002675568
ADANA,Kozan,323,93515,82776,78488,DSP,226,0.885162808,0.948197545,0.002879421
ADANA,Pozanti,56,15496,13544,12884,SP,167,0.874032008,0.951269935,0.012961813
ADANA,Pozanti,56,15496,13544,12884,BTP,268,0.874032008,0.951269935,0.020800993
ADANA,Pozanti,56,15496,13544,12884,VP,14,0.874032008,0.951269935,0.001086619
ADANA,Pozanti,56,15496,13544,12884,BBP,25,0.874032008,0.951269935,0.001940391
ADANA,Pozanti,56,15496,13544,12884,CHP,3394,0.874032008,0.951269935,0.263427507
ADANA,Pozanti,56,15496,13544,12884,MHP,5595,0.874032008,0.951269935,0.434259547
ADANA,Pozanti,56,15496,13544,12884,IYI,311,0.874032008,0.951269935,0.024138466
ADANA,Pozanti,56,15496,13544,12884,HDP,22,0.874032008,0.951269935,0.001707544
ADANA,Pozanti,56,15496,13544,12884,DSP,54,0.874032008,0.951269935,0.004191245
ADANA,Pozanti,56,15496,13544,12884,Bagimsiz,3034,0.874032008,0.951269935,0.235485874
ADANA,Saimbeyli,47,11667,10448,9828,SP,104,0.895517271,0.940658499,0.010582011
ADANA,Saimbeyli,47,11667,10448,9828,BTP,69,0.895517271,0.940658499,0.007020757
ADANA,Saimbeyli,47,11667,10448,9828,VP,44,0.895517271,0.940658499,0.004477004
ADANA,Saimbeyli,47,11667,10448,9828,BBP,1923,0.895517271,0.940658499,0.195665446
ADANA,Saimbeyli,47,11667,10448,9828,MHP,5971,0.895517271,0.940658499,0.607549858
ADANA,Saimbeyli,47,11667,10448,9828,IYI,1690,0.895517271,0.940658499,0.171957672
ADANA,Saimbeyli,47,11667,10448,9828,DSP,27,0.895517271,0.940658499,0.002747253
ADANA,Tufanbeyli,61,13083,11864,11130,SP,55,0.906825652,0.938132165,0.004941599
